,Links,Name,Price,Price_true
0,https://www.mercadolibre.com.co/laptop-asus-m515da-gris-156-amd-ryzen-5-3500u-16gb-de-ram-1tb-hdd-512gb-ssd-amd-radeon-rx-vega-8-ryzen-20003000-1920x1080px-windows-10/p/MCO19686117?pdp_filters=price:2500000-5000000%7Ccategory:MCO1652#searchVariation=MCO19686117&position=1&search_layout=stack&type=product&tracking_id=ef501fab-7e7a-4693-9102-37cb458bf275,"Laptop Asus M515DA gris 15.6"", AMD Ryzen 5 3500U  16GB de RAM 1TB HDD 512GB SSD, AMD Radeon RX Vega 8 (Ryzen 2000/3000) 1920x1080px Windows 10",2696671 pesos,2696671 pesos$2.696.671
1,https://www.mercadolibre.com.co/laptop-asus-m3500qa-l1224-ryzen-7-5800h-16gb-512gb-ssd/p/MCO20539504?pdp_filters=price:2500000-5000000%7Ccategory:MCO1652#searchVariation=MCO20539504&position=2&search_layout=stack&type=product&tracking_id=ef501fab-7e7a-4693-9102-37cb458bf275,Laptop Asus M3500qa-l1224 Ryzen 7 5800h 16gb 512gb Ssd,3811081 pesos,3811081 pesos$3.811.081
2,https://articulo.mercadolibre.com.co/MCO-1153856407-portatil-asus-core-i7-ram-16gb-ssd-512gb-fhd-x515ea-huella-_JM?searchVariation=176198447951#searchVariation=176198447951&position=7&search_layout=stack&type=item&tracking_id=ef501fab-7e7a-4693-9102-37cb458bf275,Portatil Asus Core I7 Ram 16gb Ssd 512gb Fhd X515ea Huella,Antes: 3400000 pesos,3049900 pesos$3.049.90010% OFF
3,https://articulo.mercadolibre.com.co/MCO-1193106107-laptop-asus-onceava-intel-i7-1165g7-16gb-ram-512gb-ssd-fhd-_JM?searchVariation=176359813455#searchVariation=176359813455&position=8&search_layout=stack&type=item&tracking_id=ef501fab-7e7a-4693-9102-37cb458bf275,Laptop Asus Onceava Intel I7 1165g7 16gb Ram 512gb Ssd Fhd,Antes: 4857000 pesos,3299900 pesos$3.299.90032% OFF
4,https://articulo.mercadolibre.com.co/MCO-1023130499-laptop-asus-m515-156-ryzen-5-3500u-16gb-1tb-hdd-512gb-ssd-_JM?searchVariation=175608627045#searchVariation=175608627045&position=11&search_layout=stack&type=item&tracking_id=ef501fab-7e7a-4693-9102-37cb458bf275,Laptop Asus M515 15.6 Ryzen 5 3500u 16gb  1tb Hdd+ 512gb Ssd,2725393 pesos,2725393 pesos$2.725.393
5,https://articulo.mercadolibre.com.co/MCO-1250899685-asus-intel-core-i7-1165g7-disco-ssd-1tb-ram-16gb-mx-330-2gb-_JM?searchVariation=176741133933#searchVariation=176741133933&position=12&search_layout=stack&type=item&tracking_id=ef501fab-7e7a-4693-9102-37cb458bf275,Asus Intel Core I7 1165g7 Disco Ssd 1tb Ram 16gb Mx 330 2gb,4069900 pesos,4069900 pesos$4.069.900
6,https://articulo.mercadolibre.com.co/MCO-898238133-portatil-hp-ryzen-5-5500u-16gb-512gb-ssd-156-fhd-rosa-win11-_JM?searchVariation=174551467208#searchVariation=174551467208&position=13&search_layout=stack&type=item&tracking_id=ef501fab-7e7a-4693-9102-37cb458bf275,"Portátil Hp Ryzen 5 5500u 16gb 512gb Ssd 15,6 Fhd Rosa Win11",2799950 pesos,2799950 pesos$2.799.950
7,https://articulo.mercadolibre.com.co/MCO-1364841798-portatil-asus-amd-ryzen-5-4600h-disco-ssd-1tb-ram-16gb-_JM?searchVariation=177231024866#searchVariation=177231024866&position=14&search_layout=stack&type=item&tracking_id=ef501fab-7e7a-4693-9102-37cb458bf275,Portatil Asus Amd Ryzen 5 4600h Disco Ssd 1tb + Ram 16gb ,2679900 pesos,2679900 pesos$2.679.900
8,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=CR37SznRmUyGn9d2SMn%2FOKtd8g0aekVzarv1PAuR%2Bb5es7tglrM27hAVK3R%2BpmRzcsWXvdJaKOdO9z6EBaF84DGJxXDb1IVnIT%2B71fB2sORdNsBThm7APn9wSnDyzA%2B2b687ju7T1%2FiR68%2FFhLLnqdVihOw6WZA9RgcBJjvqf%2BB3ZytVsKtN8hvN1%2Brm%2BfLIQ5SbctsuZrHVBFYzA9q5WnJyKuRWJI66Ikho42RENMuj7MtBPdiSZ2j6dlXTkHjIOmRYMx1gVA8Vsk11XRUk%2BgHy4ePzqoqAO3y9AzN7689oc7t5gYEZ8r1m%2Biw2mT%2B3hAPEARiP%2BnebTMEVkXLXpUJQ8BISR3W4fncwtu%2F7wHMhX7%2B8Ad6Xgjk8DZj1CEb0hO1TXQXq%2Bmp2FO2rr%2Fo0IVy%2B07WfoX8Cp%2FkqFchK6py%2Fnt6uNP3MlqWwPgxWjGZJR9YMNspX2%2Bn679dx25F6k2L8pYEHW%2FyyOuFqbDYbw01h%2B1h316F9RgKEzon3ZWGutxCLfNxSdpsquUWOZCVHqL45KnMSttPcKWiF%2BSiy9WxcvucCARNKBhDpwGG3NhtgGbAtemkaKcFY%2Bl%2Ffg4efjhtW0KuMjm2IwvhbW%2FqtI%2FVFJyTGngoQqCy32zVQKJQR8B4G8fZxRcd7AUJyOLqhuUMDS%2ByKdpcJptnZVTyQZUFq%2Ba0jddfLr7AH3AVzCgkR64HARlBTpTwrUo8hWIAP&rb=x,Portatil Asus Core I7 Ram 16gb Ssd 512gb Fhd X515ea Huella,Antes: 3400000 pesos,3049900 pesos$3.049.90010% OFF
9,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=XJhzS8LiCY48q%2B1KsFL%2BfcL%2BfqXa5DITI6dlNo334INgZ%2FTTY3xSDNOp6CvkTHGj4qBU6AubeAKEt1Wqo3i4P4aavXlY0UJJnBkOBA5rGsvd9kxp9Wo6Sj5bhV12Se2GKx0%2FHoiokIJCLGwvHDn4FoIt4VZwMbklLQXIH7pvFK8M%2FIc%2BdFSPsnZT2NBEOsqc3xR7iNu20NDhLTqxGdHTDwDebJsnyRYoAftiCghG%2Fg%2FLUeQOeZfLMyFyFqRBgtYdxu8Ovv33h3QE56C%2Bhz5q2VUJ353G8MzTMhDZzExJK%2BoBcYGTZYiRCZgBMv6WYpjwcFUnPAFIqE1uIrwjTwM0%2FRnJoT2ntk20AYYcVq5svCErbZnUbmmUIVpdhf9XtEvCpd%2Bjr%2FIex589LnHodNpZ8b%2FVqeLFRxCYi%2F6hL1WPOflUv%2FuH%2BGyrqh8EYfMIZxrbFgl1LUX%2F4bfAGduu%2B3hJlUlUW5fNnD6WncgrOMsfbtgJ29yn6U1Dwb2iYAN1Hb1fIA3j7uEh6N032W%2FeeVFPZalY2OEGT6OEEebaQtvFsd6zVPG7Sh9db8YQokoI4evAbMlA5WVNFp1K5fBIllJ39uFheV46JVzLyUz5w1lPEH6IlE5%2BiwImb1FFhsPPUja6vxMNynhNVovNwxFYSguCf%2Fm0FYNRzfr0cYXmQoeaSfekIkOZKGQW%2BXEddj3nKpgV80POfCYj&rb=x, Hp 15-dw1510la Intel Core I7 10510u 16gb-512ssd,3640900 pesos,3640900 pesos$3.640.900
10,https://articulo.mercadolibre.com.co/MCO-576029227-portatil-hp-14-core-i5-10gen-ram-16gb-512gb-ssd-quadcore-_JM?searchVariation=61619439779#searchVariation=61619439779&position=15&search_layout=stack&type=item&tracking_id=ef501fab-7e7a-4693-9102-37cb458bf275,"Portátil Hp 14, Core I5 10gen, Ram 16gb, 512gb Ssd, Quadcore",2899000 pesos,2899000 pesos$2.899.000
11,https://articulo.mercadolibre.com.co/MCO-1194558267-portatil-asus-intel-core-i5-1240p-disco-ssd-1tb-ram-16gb-_JM?searchVariation=176367848768#searchVariation=176367848768&position=16&search_layout=stack&type=item&tracking_id=ef501fab-7e7a-4693-9102-37cb458bf275,Portatil Asus Intel Core I5 1240p Disco Ssd 1tb + Ram 16gb,3069900 pesos,3069900 pesos$3.069.900
